NAME,population_estimate,population_margin,state,county,tract,block group
"Block Group 2, Census Tract 63, Multnomah County, Oregon",1630,201,41,51,6300,2
"Block Group 3, Census Tract 63, Multnomah County, Oregon",1616,263,41,51,6300,3
"Block Group 1, Census Tract 63, Multnomah County, Oregon",1958,237,41,51,6300,1
"Block Group 3, Census Tract 27.01, Multnomah County, Oregon",856,194,41,51,2701,3
"Block Group 1, Census Tract 27.01, Multnomah County, Oregon",1002,189,41,51,2701,1
"Block Group 2, Census Tract 27.01, Multnomah County, Oregon",1353,176,41,51,2701,2
"Block Group 1, Census Tract 38.03, Multnomah County, Oregon",1434,227,41,51,3803,1
"Block Group 2, Census Tract 38.03, Multnomah County, Oregon",1312,347,41,51,3803,2
"Block Group 3, Census Tract 38.03, Multnomah County, Oregon",1760,340,41,51,3803,3
"Block Group 2, Census Tract 46.01, Multnomah County, Oregon",1319,203,41,51,4601,2
"Block Group 1, Census Tract 46.01, Multnomah County, Oregon",1698,215,41,51,4601,1
"Block Group 1, Census Tract 64.02, Multnomah County, Oregon",3307,437,41,51,6402,1
"Block Group 2, Census Tract 64.02, Multnomah County, Oregon",2685,393,41,51,6402,2
"Block Group 3, Census Tract 70, Multnomah County, Oregon",1007,252,41,51,7000,3
"Block Group 1, Census Tract 70, Multnomah County, Oregon",978,246,41,51,7000,1
"Block Group 2, Census Tract 70, Multnomah County, Oregon",2495,466,41,51,7000,2
"Block Group 4, Census Tract 70, Multnomah County, Oregon",3812,444,41,51,7000,4
"Block Group 1, Census Tract 72.01, Multnomah County, Oregon",1252,298,41,51,7201,1
"Block Group 2, Census Tract 72.01, Multnomah County, Oregon",1010,131,41,51,7201,2
"Block Group 3, Census Tract 38.02, Multnomah County, Oregon",1169,240,41,51,3802,3
"Block Group 2, Census Tract 38.02, Multnomah County, Oregon",882,225,41,51,3802,2
"Block Group 1, Census Tract 38.02, Multnomah County, Oregon",1467,301,41,51,3802,1
"Block Group 5, Census Tract 39.01, Multnomah County, Oregon",2593,746,41,51,3901,5
"Block Group 4, Census Tract 39.01, Multnomah County, Oregon",1361,406,41,51,3901,4
"Block Group 3, Census Tract 39.01, Multnomah County, Oregon",1496,348,41,51,3901,3
"Block Group 1, Census Tract 39.01, Multnomah County, Oregon",1523,584,41,51,3901,1
"Block Group 2, Census Tract 39.01, Multnomah County, Oregon",990,279,41,51,3901,2
"Block Group 2, Census Tract 55, Multnomah County, Oregon",1474,207,41,51,5500,2
"Block Group 1, Census Tract 55, Multnomah County, Oregon",1331,149,41,51,5500,1
"Block Group 5, Census Tract 58, Multnomah County, Oregon",806,194,41,51,5800,5
"Block Group 3, Census Tract 58, Multnomah County, Oregon",587,215,41,51,5800,3
"Block Group 4, Census Tract 58, Multnomah County, Oregon",1367,288,41,51,5800,4
"Block Group 1, Census Tract 58, Multnomah County, Oregon",998,329,41,51,5800,1
"Block Group 2, Census Tract 58, Multnomah County, Oregon",1308,269,41,51,5800,2
"Block Group 4, Census Tract 59, Multnomah County, Oregon",1854,503,41,51,5900,4
"Block Group 1, Census Tract 59, Multnomah County, Oregon",3890,369,41,51,5900,1
"Block Group 2, Census Tract 59, Multnomah County, Oregon",1071,277,41,51,5900,2
"Block Group 3, Census Tract 59, Multnomah County, Oregon",1042,261,41,51,5900,3
"Block Group 2, Census Tract 67.01, Multnomah County, Oregon",1412,289,41,51,6701,2
"Block Group 1, Census Tract 67.01, Multnomah County, Oregon",1883,195,41,51,6701,1
"Block Group 1, Census Tract 73, Multnomah County, Oregon",1531,427,41,51,7300,1
"Block Group 1, Census Tract 80.02, Multnomah County, Oregon",1983,405,41,51,8002,1
"Block Group 2, Census Tract 80.02, Multnomah County, Oregon",1302,252,41,51,8002,2
"Block Group 3, Census Tract 89.01, Multnomah County, Oregon",1397,375,41,51,8901,3
"Block Group 1, Census Tract 89.01, Multnomah County, Oregon",5123,662,41,51,8901,1
"Block Group 2, Census Tract 89.01, Multnomah County, Oregon",3114,567,41,51,8901,2
"Block Group 3, Census Tract 90, Multnomah County, Oregon",3484,757,41,51,9000,3
"Block Group 2, Census Tract 90, Multnomah County, Oregon",3375,678,41,51,9000,2
"Block Group 1, Census Tract 90, Multnomah County, Oregon",4171,706,41,51,9000,1
"Block Group 1, Census Tract 92.02, Multnomah County, Oregon",2718,392,41,51,9202,1
"Block Group 2, Census Tract 92.02, Multnomah County, Oregon",937,250,41,51,9202,2
"Block Group 3, Census Tract 92.02, Multnomah County, Oregon",1524,325,41,51,9202,3
"Block Group 1, Census Tract 93.01, Multnomah County, Oregon",2321,591,41,51,9301,1
"Block Group 2, Census Tract 93.01, Multnomah County, Oregon",1794,468,41,51,9301,2
"Block Group 3, Census Tract 93.01, Multnomah County, Oregon",2991,667,41,51,9301,3
"Block Group 2, Census Tract 98.01, Multnomah County, Oregon",2044,404,41,51,9801,2
"Block Group 1, Census Tract 98.01, Multnomah County, Oregon",2539,519,41,51,9801,1
"Block Group 1, Census Tract 84, Multnomah County, Oregon",1786,314,41,51,8400,1
"Block Group 2, Census Tract 84, Multnomah County, Oregon",2612,378,41,51,8400,2
"Block Group 1, Census Tract 89.02, Multnomah County, Oregon",2791,331,41,51,8902,1
"Block Group 2, Census Tract 89.02, Multnomah County, Oregon",1183,308,41,51,8902,2
"Block Group 2, Census Tract 91.01, Multnomah County, Oregon",2452,581,41,51,9101,2
"Block Group 1, Census Tract 91.01, Multnomah County, Oregon",3547,501,41,51,9101,1
"Block Group 1, Census Tract 100.02, Multnomah County, Oregon",3139,493,41,51,10002,1
"Block Group 2, Census Tract 100.02, Multnomah County, Oregon",2451,405,41,51,10002,2
"Block Group 1, Census Tract 76, Multnomah County, Oregon",973,187,41,51,7600,1
"Block Group 2, Census Tract 76, Multnomah County, Oregon",2335,413,41,51,7600,2
"Block Group 1, Census Tract 77, Multnomah County, Oregon",1023,206,41,51,7700,1
"Block Group 2, Census Tract 77, Multnomah County, Oregon",1380,449,41,51,7700,2
"Block Group 2, Census Tract 81, Multnomah County, Oregon",1756,403,41,51,8100,2
"Block Group 1, Census Tract 81, Multnomah County, Oregon",2585,589,41,51,8100,1
"Block Group 3, Census Tract 81, Multnomah County, Oregon",960,348,41,51,8100,3
"Block Group 4, Census Tract 81, Multnomah County, Oregon",2252,583,41,51,8100,4
"Block Group 2, Census Tract 87, Multnomah County, Oregon",1655,315,41,51,8700,2
"Block Group 1, Census Tract 87, Multnomah County, Oregon",1689,402,41,51,8700,1
"Block Group 3, Census Tract 87, Multnomah County, Oregon",1403,347,41,51,8700,3
"Block Group 2, Census Tract 91.02, Multnomah County, Oregon",2466,568,41,51,9102,2
"Block Group 1, Census Tract 91.02, Multnomah County, Oregon",1096,493,41,51,9102,1
