TRACT,FIPS,Race_Ran_1,Income_R_1,Combined
001202,41051001202,1,2,3
001301,41051001301,2,2,4
001302,41051001302,1,1,2
001400,41051001400,2,2,4
001500,41051001500,1,1,2
001601,41051001601,2,2,4
001602,41051001602,5,4,9
001701,41051001701,4,2,6
001702,41051001702,4,4,8
001801,41051001801,2,3,5
001802,41051001802,2,3,5
001900,41051001900,1,1,2
002000,41051002000,2,4,6
002100,41051002100,2,5,7
002401,41051002401,1,1,2
002402,41051002402,3,4,7
002501,41051002501,1,1,2
002502,41051002502,2,3,5
002600,41051002600,1,1,2
002701,41051002701,1,1,2
002702,41051002702,3,4,7
002801,41051002801,1,1,2
002802,41051002802,1,2,3
002901,41051002901,1,2,3
002902,41051002902,2,4,6
003000,41051003000,2,1,3
003100,41051003100,2,1,3
003200,41051003200,2,1,3
003301,41051003301,4,2,6
003302,41051003302,4,2,6
003401,41051003401,4,3,7
003402,41051003402,4,2,6
003501,41051003501,4,4,8
003502,41051003502,2,1,3
003601,41051003601,4,2,6
003602,41051003602,4,1,5
003603,41051003603,4,2,6
003701,41051003701,5,4,9
005100,41051005100,2,3,5
005200,41051005200,3,5,8
005500,41051005500,4,5,9
005600,41051005600,4,5,9
005700,41051005700,3,3,6
005800,41051005800,2,1,3
005900,41051005900,3,1,4
007300,41051007300,5,5,10
003702,41051003702,2,2,4
003801,41051003801,3,4,7
003802,41051003802,3,2,5
003803,41051003803,4,3,7
003901,41051003901,5,3,8
003902,41051003902,2,2,4
004001,41051004001,5,5,10
004002,41051004002,3,3,6
004101,41051004101,5,3,8
004102,41051004102,3,4,7
004200,41051004200,3,4,7
980000,41051980000,0,0,0
004500,41051004500,2,2,4
004601,41051004601,1,1,2
004602,41051004602,1,1,2
004700,41051004700,1,2,3
004800,41051004800,2,5,7
004900,41051004900,3,5,8
005000,41051005000,1,1,2
006300,41051006300,2,1,3
006402,41051006402,1,1,2
006801,41051006801,2,2,4
007400,41051007400,5,5,10
007500,41051007500,4,2,6
007600,41051007600,5,5,10
007700,41051007700,5,4,9
007900,41051007900,5,4,9
008001,41051008001,3,4,7
008002,41051008002,4,4,8
008100,41051008100,5,5,10
008201,41051008201,4,5,9
008202,41051008202,5,5,10
006802,41051006802,1,1,2
006900,41051006900,1,1,2
007000,41051007000,3,1,4
007201,41051007201,1,4,5
008600,41051008600,5,5,10
008902,41051008902,4,4,8
008901,41051008901,4,2,6
009201,41051009201,4,5,9
008301,41051008301,5,5,10
008302,41051008302,5,5,10
008400,41051008400,4,5,9
008500,41051008500,4,4,8
008700,41051008700,4,3,7
009000,41051009000,5,5,10
009102,41051009102,4,4,8
009202,41051009202,5,4,9
009302,41051009302,5,4,9
010200,41051010200,4,3,7
009400,41051009400,4,3,7
009501,41051009501,5,4,9
009701,41051009701,4,5,9
009301,41051009301,5,4,9
006001,41051006001,1,1,2
006601,41051006601,1,1,2
006002,41051006002,2,1,3
006100,41051006100,1,1,2
006200,41051006200,1,1,2
006501,41051006501,1,1,2
006502,41051006502,2,3,5
006602,41051006602,1,3,4
006701,41051006701,2,1,3
006702,41051006702,3,2,5
007202,41051007202,5,3,8
002903,41051002903,5,3,8
007800,41051007800,4,3,7
008800,41051008800,3,3,6
009502,41051009502,5,3,8
004300,41051004300,1,1,2
000200,41051000200,2,2,4
000301,41051000301,2,5,7
010600,41051010600,3,5,8
002303,41051002303,3,5,8
002203,41051002203,3,3,6
000302,41051000302,1,1,2
000401,41051000401,1,2,3
000402,41051000402,2,2,4
000501,41051000501,3,4,7
000502,41051000502,4,4,8
000601,41051000601,5,4,9
000602,41051000602,5,4,9
000701,41051000701,3,3,6
000702,41051000702,4,3,7
000801,41051000801,1,3,4
000802,41051000802,2,3,5
000901,41051000901,2,2,4
000902,41051000902,3,4,7
001000,41051001000,2,3,5
001101,41051001101,2,5,7
001102,41051001102,3,2,5
001201,41051001201,1,4,5
009101,41051009101,5,5,10
009804,41051009804,5,5,10
009702,41051009702,5,5,10
006404,41051006404,2,2,4
006403,41051006403,3,3,6
000100,41051000100,1,2,3
